CO_ID,YYYY/MM,Total cash and cash equivalents,Total due from the central bank and call loans to banks,Total financial assets at fair value through profit or loss,"Derivative financial assets, net","Securities purchased under resell agreements, net","Receivables, net",Total current tax assets,"Assets classified as held for sale, net","Discounts and loans, net","Financial assets at fair value through other comprehensive income, net","Financial assets measured at amortized cost, net","Investments measured by equity method, net","Restricted assets, net","Other financial assets, net","Total property, plant and equipment",Right of use assets,"Investment property, net","Intangible assets, net",Total deferred tax assets,"Other assets, net",Total assets,Total deposits from the central bank and banks,Total due to the central bank and banks,Total financial liabilities at fair value through profit or loss,"Derivative financial liabilities, net",Financial liabilities measured at amortized cost,Total notes and bonds issued under repurchase agreement,Commercial Paper Payable,Total payables,Total current tax liabilities,Total liabilities related to assets classified as held for sale,Total deposits and remittances,Bonds & Convertible,Total preferred stock liabilities,Total other financial liabilities,Total provisions,Lease liabilities,Accrued Pension Payable,Total deferred income tax liabilities,Total other liabilities,Total liabilities,Common stock,Preferred stock,Advance receipts for capital stock,Reserve for capitalization,Employee Stock Option,Total capital,Total capital surplus,Legal reserve,Special reserve,Total unappropriated earnings,Total retained earnings,Exchange differences on translation of foreign financial statements,Total unrealized gains (losses) on fin. assets at fair value through OCI,Credit risk on fair value measurement of financial liabilities,Remeasurement of defined benefit plans,Total gains (losses) on hedging instrument,"Total revaluation of property, plant, and equipment",Total equity related to assets classified as held for sale,Unearned compensation,"Other equity, others",Total other equity interest,Total Treasury shares,Total equity attributable to owners of parent,Non-controlling interests,Interests in the former associate or jointly controlled entity,Non-controlling interest in pre-acquisition share capital,Total equity,Total Liabilities & Equity
2807 SCBTL,2024/09,13647135.00 ,197369309.00 ,41181193.00 ,880997.00 ,31181496.00 ,39286850.00 ,128221.00 ,0.00 ,302229751.00 ,90357904.00 ,16602728.00 ,0.00 ,11850604.00 ,0.00 ,2920130.00 ,2080806.00 ,0.00 ,3219831.00 ,683670.00 ,3282954.00 ,756903579.00 ,6441214.00 ,0.00 ,36181021.00 ,947927.00 ,0.00 ,0.00 ,0.00 ,21427853.00 ,478978.00 ,0.00 ,622111970.00 ,6334500.00 ,0.00 ,15831.00 ,624505.00 ,2218191.00 ,0.00 ,846841.00 ,7442549.00 ,705071380.00 ,29105720.00 ,0.00 ,0.00 ,0.00 ,0.00 ,29105720.00 ,5794771.00 ,12309305.00 ,419435.00 ,4431167.00 ,17159907.00 ,-,-,-,-,-,-,-,-,-,(228199.00),0.00 ,51832199.00 ,0.00 ,0.00 ,0.00 ,51832199.00 ,756903579.00 
2801 CHANG HWA BANK,2024/09,36834051.00 ,243708190.00 ,79914026.00 ,0.00 ,0.00 ,28225791.00 ,173463.00 ,0.00 ,1963575712.00 ,300212671.00 ,472944365.00 ,0.00 ,0.00 ,457625.00 ,21162532.00 ,1861189.00 ,13926451.00 ,929564.00 ,1777835.00 ,1426214.00 ,3167129679.00 ,184578811.00 ,0.00 ,4406705.00 ,0.00 ,0.00 ,1568755.00 ,0.00 ,52865983.00 ,1371950.00 ,0.00 ,2663849515.00 ,40810469.00 ,0.00 ,1075908.00 ,3079163.00 ,1729314.00 ,0.00 ,8427951.00 ,3547313.00 ,2967311837.00 ,112057583.00 ,0.00 ,0.00 ,0.00 ,0.00 ,112057583.00 ,24.00 ,50685866.00 ,12201590.00 ,11889386.00 ,74776842.00 ,212212.00 ,12771181.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12983393.00 ,0.00 ,199817842.00 ,0.00 ,0.00 ,0.00 ,199817842.00 ,3167129679.00 
